registration_number,ngo_name,registration_type,state,city,registered_year,focus_area,website,director_name,beneficiaries_estimate,funding_summary,contact_email,contact_phone,address,annual_report_url,source_links,notes
U28289GO2023NPL14434,Prerna Samiti 1,Section-8 Company,Goa,Panaji,2002,Education,https://www.prernasamiti1.org,Himmat Varma,"4.57M (approx., 2021)","FY2021: Total ~ INR 3,890,000; Grants INR 700,000; Donations INR 2,290,000; Govt INR 900,000",contact1@prerna.samiti.1.org,9819600133,"130, Panaji Main Road, Near Community Centre, Goa",https://www.prernasamiti1.org/annual-report.pdf,https://www.prernasamiti1.org|https://example-simulated-source.org/1,
176944844,Kshitij Centre 2,FCRA,Meghalaya,Shillong,2019,Human Rights,https://www.kshitijcentre2.org,Adira Chaudry,"4.5M (approx., 2018)","FY2021: Total ~ INR 2,400,000; Grants INR 1,200,000; Donations INR 400,000; Govt INR 800,000",contact2@kshitij.centre.2.org,7511615594,"207, Shillong Main Road, Near Community Centre, Meghalaya",https://www.kshitijcentre2.org/annual-report.pdf,https://www.kshitijcentre2.org|https://example-simulated-source.org/2,Simulated beneficiary numbers
S/38930/HI,Seva Samiti 3,Society,Himachal Pradesh,Dharamshala,1994,Human Rights,https://www.sevasamiti3.org,Abram Mander,"1.44M (approx., 2022)","FY2022: Total ~ INR 2,230,000; Grants INR 700,000; Donations INR 830,000; Govt INR 700,000",contact3@seva.samiti.3.org,7316475255,"54, Dharamshala Main Road, Near Market, Himachal Pradesh",https://www.sevasamiti3.org/annual-report.pdf,https://www.sevasamiti3.org|https://example-simulated-source.org/3,Simulated beneficiary numbers
TR/2004/5207,Kshitij Foundation 4,Trust,Goa,Vasco da Gama,1999,Disability Services,https://www.kshitijfoundation4.org,Tara Andra,"2.22M (approx., 2019)","FY2023: Total ~ INR 5,310,000; Grants INR 700,000; Donations INR 3,810,000; Govt INR 800,000",contact4@kshitij.foundation.4.org,8641395376,"227, Vasco da Gama Main Road, Near School, Goa",https://www.kshitijfoundation4.org/annual-report.pdf,https://www.kshitijfoundation4.org|https://example-simulated-source.org/4,Simulated beneficiary numbers
TR/2018/155051,Annapurna Association 5,NITI Aayog (Darpan),Tripura,Agartala,2019,Arts & Culture,https://www.annapurnaassociation5.org,Anahi Bhatt,"4.44M (approx., 2020)","FY2024: Total ~ INR 6,100,000; Grants INR 1,700,000; Donations INR 4,400,000; Govt INR 0",contact5@annapurna.association.5.org,9710122691,"99, Agartala Main Road, Near School, Tripura",https://www.annapurnaassociation5.org/annual-report.pdf,https://www.annapurnaassociation5.org|https://example-simulated-source.org/5,
U66985MA2005NPL60470,Asha Centre 6,Section-8 Company,Manipur,Imphal,2000,Elderly Care,https://www.ashacentre6.org,Ivana Chand,"4.52M (approx., 2024)","FY2023: Total ~ INR 6,300,000; Grants INR 1,600,000; Donations INR 4,700,000; Govt INR 0",contact6@asha.centre.6.org,7482814893,"40, Imphal Main Road, Near Market, Manipur",https://www.ashacentre6.org/annual-report.pdf,https://www.ashacentre6.org|https://example-simulated-source.org/6,Simulated beneficiary numbers
U17592AS2007NPL75364,Sahayog Samiti 7,Section-8 Company,Assam,Guwahati,2003,Healthcare,https://www.sahayogsamiti7.org,Aarna Ramesh,"4.52M (approx., 2024)","FY2022: Total ~ INR 4,650,000; Grants INR 600,000; Donations INR 3,650,000; Govt INR 400,000",contact7@sahayog.samiti.7.org,7171822782,"68, Guwahati Main Road, Near School, Assam",https://www.sahayogsamiti7.org/annual-report.pdf,https://www.sahayogsamiti7.org|https://example-simulated-source.org/7,Simulated beneficiary numbers
S/9392/HA,Prerna Samiti 8,Society,Haryana,Hisar,1992,Urban Poor,https://www.prernasamiti8.org,Samaira Saha,"2.77M (approx., 2018)","FY2024: Total ~ INR 3,210,000; Grants INR 1,600,000; Donations INR 1,210,000; Govt INR 400,000",contact8@prerna.samiti.8.org,8098393010,"59, Hisar Main Road, Near Community Centre, Haryana",https://www.prernasamiti8.org/annual-report.pdf,https://www.prernasamiti8.org|https://example-simulated-source.org/8,Funding estimated for demo
RA/2022/856721,Jeevan Samiti 9,NITI Aayog (Darpan),Rajasthan,Bikaner,1993,Women Empowerment,https://www.jeevansamiti9.org,Miraya Bhatt,"3.38M (approx., 2023)","FY2020: Total ~ INR 5,190,000; Grants INR 1,000,000; Donations INR 4,090,000; Govt INR 100,000",contact9@jeevan.samiti.9.org,8311656670,"173, Bikaner Main Road, Near Community Centre, Rajasthan",https://www.jeevansamiti9.org/annual-report.pdf,https://www.jeevansamiti9.org|https://example-simulated-source.org/9,Sample data - synthetic
TR/2007/61637,Navjeevan Organisation 10,Trust,Rajasthan,Bikaner,2021,Urban Poor,https://www.navjeevanorganisation10.org,Mehul Thakkar,"4.04M (approx., 2019)","FY2020: Total ~ INR 5,820,000; Grants INR 1,200,000; Donations INR 4,620,000; Govt INR 0",contact10@navjeevan.organisation.10.org,7178108013,"43, Bikaner Main Road, Near School, Rajasthan",https://www.navjeevanorganisation10.org/annual-report.pdf,https://www.navjeevanorganisation10.org|https://example-simulated-source.org/10,Funding estimated for demo
757959430,Sahayog Initiative 11,FCRA,Uttar Pradesh,Agra,1993,Child Welfare,https://www.sahayoginitiative11.org,Aaryahi Varughese,"4.21Lakh (approx., 2022)","FY2020: Total ~ INR 4,870,000; Grants INR 1,500,000; Donations INR 2,570,000; Govt INR 800,000",contact11@sahayog.initiative.11.org,9872343098,"16, Agra Main Road, Near Market, Uttar Pradesh",https://www.sahayoginitiative11.org/annual-report.pdf,https://www.sahayoginitiative11.org|https://example-simulated-source.org/11,
TR/1994/89501,Pragati Society 12,Trust,Jharkhand,Ranchi,2006,Mental Health,https://www.pragatisociety12.org,Diya Choudhury,"1.71M (approx., 2023)","FY2022: Total ~ INR 2,620,000; Grants INR 1,000,000; Donations INR 1,220,000; Govt INR 400,000",contact12@pragati.society.12.org,7619399091,"108, Ranchi Main Road, Near Market, Jharkhand",https://www.pragatisociety12.org/annual-report.pdf,https://www.pragatisociety12.org|https://example-simulated-source.org/12,Sample data - synthetic
U70068MA2019NPL74792,Pragati Foundation 13,Section-8 Company,Manipur,Imphal,2000,Urban Poor,https://www.pragatifoundation13.org,Heer Ramaswamy,"3.68M (approx., 2024)","FY2023: Total ~ INR 5,700,000; Grants INR 1,700,000; Donations INR 3,600,000; Govt INR 400,000",contact13@pragati.foundation.13.org,7183842513,"95, Imphal Main Road, Near Market, Manipur",https://www.pragatifoundation13.org/annual-report.pdf,https://www.pragatifoundation13.org|https://example-simulated-source.org/13,
S/16129/MA,Sakhi Centre 14,Society,Manipur,Imphal,2006,Arts & Culture,https://www.sakhicentre14.org,Amani Singh,"4.26Lakh (approx., 2018)","FY2019: Total ~ INR 4,560,000; Grants INR 2,000,000; Donations INR 2,160,000; Govt INR 400,000",contact14@sakhi.centre.14.org,7824493534,"130, Imphal Main Road, Near School, Manipur",https://www.sakhicentre14.org/annual-report.pdf,https://www.sakhicentre14.org|https://example-simulated-source.org/14,
U82309TE2022NPL57057,Uday Welfare 15,Section-8 Company,Telangana,Warangal,1998,Disaster Relief,https://www.udaywelfare15.org,Vivaan Dass,"3.51Lakh (approx., 2020)","FY2021: Total ~ INR 5,700,000; Grants INR 1,100,000; Donations INR 4,600,000; Govt INR 0",contact15@uday.welfare.15.org,9011280598,"38, Warangal Main Road, Near School, Telangana",https://www.udaywelfare15.org/annual-report.pdf,https://www.udaywelfare15.org|https://example-simulated-source.org/15,Sample data - synthetic
S/54264/MA,Dharitri Sanstha 16,Society,Manipur,Imphal,2007,Disaster Relief,https://www.dharitrisanstha16.org,Shalv Kari,"1.34M (approx., 2024)","FY2022: Total ~ INR 2,250,000; Grants INR 300,000; Donations INR 1,950,000; Govt INR 0",contact16@dharitri.sanstha.16.org,9232260256,"206, Imphal Main Road, Near Railway Station, Manipur",https://www.dharitrisanstha16.org/annual-report.pdf,https://www.dharitrisanstha16.org|https://example-simulated-source.org/16,Sample data - synthetic
U13101RA2021NPL26313,Prerna Samiti 17,Section-8 Company,Rajasthan,Ajmer,1997,Livelihood,https://www.prernasamiti17.org,Sahil Sachdev,"2.19M (approx., 2019)","FY2019: Total ~ INR 7,120,000; Grants INR 1,800,000; Donations INR 4,920,000; Govt INR 400,000",contact17@prerna.samiti.17.org,8541458685,"241, Ajmer Main Road, Near Community Centre, Rajasthan",https://www.prernasamiti17.org/annual-report.pdf,https://www.prernasamiti17.org|https://example-simulated-source.org/17,
U77033UT2003NPL51488,Navjeevan Society 18,Section-8 Company,Uttarakhand,Nainital,2011,Livelihood,https://www.navjeevansociety18.org,Yakshit Yohannan,"2.63M (approx., 2023)","FY2023: Total ~ INR 4,380,000; Grants INR 300,000; Donations INR 3,680,000; Govt INR 400,000",contact18@navjeevan.society.18.org,9340608835,"111, Nainital Main Road, Near Community Centre, Uttarakhand",https://www.navjeevansociety18.org/annual-report.pdf,https://www.navjeevansociety18.org|https://example-simulated-source.org/18,Simulated beneficiary numbers
146674237,Sahayog Sanstha 19,FCRA,Manipur,Imphal,2003,Livelihood,https://www.sahayogsanstha19.org,Ritvik Kaul,"3.61M (approx., 2024)","FY2021: Total ~ INR 5,900,000; Grants INR 1,800,000; Donations INR 3,100,000; Govt INR 1,000,000",contact19@sahayog.sanstha.19.org,7662994680,"78, Imphal Main Road, Near Market, Manipur",https://www.sahayogsanstha19.org/annual-report.pdf,https://www.sahayogsanstha19.org|https://example-simulated-source.org/19,Funding estimated for demo
TR/2000/87356,Umeed Welfare 20,Trust,Haryana,Ambala,1992,Disaster Relief,https://www.umeedwelfare20.org,Himmat Kuruvilla,"2.05M (approx., 2021)","FY2022: Total ~ INR 6,350,000; Grants INR 1,900,000; Donations INR 4,350,000; Govt INR 100,000",contact20@umeed.welfare.20.org,7489513433,"38, Ambala Main Road, Near Community Centre, Haryana",https://www.umeedwelfare20.org/annual-report.pdf,https://www.umeedwelfare20.org|https://example-simulated-source.org/20,Funding estimated for demo
271976301,Jeevan Initiative 21,FCRA,Puducherry,Puducherry,2019,Human Rights,https://www.jeevaninitiative21.org,Taran Dara,"1.12M (approx., 2024)","FY2023: Total ~ INR 5,610,000; Grants INR 1,400,000; Donations INR 3,410,000; Govt INR 800,000",contact21@jeevan.initiative.21.org,7016328708,"64, Puducherry Main Road, Near Community Centre, Puducherry",https://www.jeevaninitiative21.org/annual-report.pdf,https://www.jeevaninitiative21.org|https://example-simulated-source.org/21,Simulated beneficiary numbers
ME/2022/950790,Navjeevan Sanstha 22,NITI Aayog (Darpan),Meghalaya,Shillong,2008,Animal Welfare,https://www.navjeevansanstha22.org,Kiaan Suri,"1.97M (approx., 2020)","FY2019: Total ~ INR 3,430,000; Grants INR 1,000,000; Donations INR 1,630,000; Govt INR 800,000",contact22@navjeevan.sanstha.22.org,7774348734,"113, Shillong Main Road, Near Community Centre, Meghalaya",https://www.navjeevansanstha22.org/annual-report.pdf,https://www.navjeevansanstha22.org|https://example-simulated-source.org/22,Sample data - synthetic
TR/2016/54424,Samarth Trust 23,Trust,West Bengal,Howrah,2020,Rural Development,https://www.samarthtrust23.org,Aradhya Dhingra,"49509 (approx., 2020)","FY2022: Total ~ INR 5,350,000; Grants INR 900,000; Donations INR 3,850,000; Govt INR 600,000",contact23@samarth.trust.23.org,8876036690,"220, Howrah Main Road, Near School, West Bengal",https://www.samarthtrust23.org/annual-report.pdf,https://www.samarthtrust23.org|https://example-simulated-source.org/23,Sample data - synthetic
427532243,Jeevan Foundation 24,FCRA,Assam,Dibrugarh,1995,Child Welfare,https://www.jeevanfoundation24.org,Prisha Krishnamurthy,"3.6M (approx., 2019)","FY2021: Total ~ INR 2,330,000; Grants INR 1,400,000; Donations INR 930,000; Govt INR 0",contact24@jeevan.foundation.24.org,8627298069,"145, Dibrugarh Main Road, Near Community Centre, Assam",https://www.jeevanfoundation24.org/annual-report.pdf,https://www.jeevanfoundation24.org|https://example-simulated-source.org/24,Funding estimated for demo
U46471TE2024NPL56255,Kshitij Initiative 25,Section-8 Company,Telangana,Warangal,2005,Urban Poor,https://www.kshitijinitiative25.org,Lavanya Kant,"1.67M (approx., 2024)","FY2020: Total ~ INR 3,380,000; Grants INR 0; Donations INR 3,180,000; Govt INR 200,000",contact25@kshitij.initiative.25.org,8170805310,"194, Warangal Main Road, Near Community Centre, Telangana",https://www.kshitijinitiative25.org/annual-report.pdf,https://www.kshitijinitiative25.org|https://example-simulated-source.org/25,Sample data - synthetic
TR/2013/22992,Roshni Centre 26,Trust,Assam,Guwahati,2015,Animal Welfare,https://www.roshnicentre26.org,Gokul Khalsa,"1.66M (approx., 2018)","FY2020: Total ~ INR 6,330,000; Grants INR 1,800,000; Donations INR 3,530,000; Govt INR 1,000,000",contact26@roshni.centre.26.org,9912419049,"174, Guwahati Main Road, Near School, Assam",https://www.roshnicentre26.org/annual-report.pdf,https://www.roshnicentre26.org|https://example-simulated-source.org/26,
